Respondent_ID,Timestamp,Age,Gender,Education level,"IT proficiency at the,",You receive an unexpected email asking to confirm your personal details like this. What should you do?,You receive an unexpected email that feels suspicious. Which detail should make you think twice before clicking?,"If an email address looks like “support@amazo0n.com,” what should you do?",You’re asked to reset your password through an email link. What is the safest step?,Why is it risky to use the same password for email and banking?,"You receive a pop-up asking for your login like this.What should you do?",Why do Fake emails often include urgent messages like “Act Now!”?,What’s a “spear phishing” attack?,Why do attackers sometimes use HTTPS in phishing sites?,What should be your first response if you clicked a phishing link?
134,2025/09/02 2:19:56 PM GMT+5:30,25,Male,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To help users stay alert,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
135,2025/09/02 2:20:14 PM GMT+5:30,26,Female,HND,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
136,2025/09/02 2:20:32 PM GMT+5:30,22,Prefer not to say,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
137,2025/09/02 2:20:49 PM GMT+5:30,26,Female,Diploma,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
138,2025/09/02 2:21:07 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
139,2025/09/02 2:21:25 PM GMT+5:30,26,Female,School A/L,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To help users stay alert,A generic email to many people,To trick users into feeling safe,Ignore it
140,2025/09/02 2:21:45 PM GMT+5:30,24,Female,Diploma,University /Diploma level,Report it as phishing,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
141,2025/09/02 2:22:07 PM GMT+5:30,22,Female,Degree,Not,Ignore and delete it,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,It can be confusing,Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,To improve speed,Close the tab and continue working
142,2025/09/02 2:28:58 PM GMT+5:30,25,Prefer not to say,Diploma,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
143,2025/09/02 2:29:25 PM GMT+5:30,24,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Ignore it,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
144,2025/09/02 2:29:49 PM GMT+5:30,25,Female,School A/L,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
145,2025/09/02 2:30:11 PM GMT+5:30,25,Prefer not to say,Diploma,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
146,2025/09/02 2:30:40 PM GMT+5:30,22,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
147,2025/09/02 2:31:02 PM GMT+5:30,27,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To help users stay alert,A highly targeted email crafted for a specific person,To trick users into feeling safe,Close the tab and continue working
148,2025/09/02 2:31:23 PM GMT+5:30,26,Female,School A/L,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
149,2025/09/02 2:31:48 PM GMT+5:30,25,Female,Diploma,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
150,2025/09/02 2:32:08 PM GMT+5:30,25,Male,Degree,University /Diploma level,Report it as phishing,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
151,2025/09/07 9:21:20 PM GMT+5:30,26,Female,HND,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Ignore it,Because email is not important,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
152,2025/09/07 9:21:38 PM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Forward it to someone else,It can be confusing,Check the URL and site certificate,To scare you into clicking,A generic email to many people,To improve speed,Close the tab and continue working
153,2025/09/07 9:21:58 PM GMT+5:30,26,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
154,2025/09/07 9:22:20 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Reply to confirm if it’s real,Click and reset it,It can be confusing,Close the window and restart,To scare you into clicking,A generic email to many people,To improve speed,Close the tab and continue working
155,2025/09/07 9:22:40 PM GMT+5:30,25,Female,Degree,University /Diploma level,Report it as phishing,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
156,2025/09/07 9:23:03 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Click and reset it,It can be confusing,Close the window and restart,To speed up support,A virus in a PDF,Because it’s required by law,"Run antivirus, change your passwords, report it"
157,2025/09/07 9:23:25 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
158,2025/09/07 9:23:44 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
159,2025/09/07 9:24:07 PM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,Because email is not important,Close the window and restart,To scare you into clicking,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
160,2025/09/07 9:24:28 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,Because email is not important,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
161,2025/09/07 9:24:49 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
162,2025/09/07 9:25:18 PM GMT+5:30,25,Female,HND,University /Diploma level,Click the link to check,It comes from your manager,Assume it’s a mistake,Ignore it,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
163,2025/09/07 9:25:37 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
164,2025/09/07 9:25:59 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
165,2025/09/07 9:26:21 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
166,2025/09/07 9:28:26 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
167,2025/09/07 9:28:48 PM GMT+5:30,25,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
168,2025/09/07 9:29:06 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
169,2025/09/07 9:29:26 PM GMT+5:30,26,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
170,2025/09/07 9:29:45 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
171,2025/09/07 9:30:12 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
172,2025/09/07 9:30:31 PM GMT+5:30,26,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
173,2025/09/07 9:30:56 PM GMT+5:30,25,Female,Degree,University /Diploma level,Reply and confirm,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Ignore it,It can be confusing,Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
174,2025/09/07 9:31:17 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To block ads,"Run antivirus, change your passwords, report it"
175,2025/09/07 9:31:37 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
176,2025/09/07 9:31:56 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
177,2025/09/07 9:32:17 PM GMT+5:30,25,Female,Diploma,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
178,2025/09/07 9:32:38 PM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
179,2025/09/07 9:32:56 PM GMT+5:30,25,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
180,2025/09/07 9:33:15 PM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Forward it to someone else,"If one is breached, both are compromised",Click “Yes” and update later,To scare you into clicking,A generic email to many people,Because it’s required by law,Ignore it
181,2025/09/09 9:50:00 AM GMT+5:30,24,Female,HND,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A generic email to many people,Because it’s required by law,"Run antivirus, change your passwords, report it"
182,2025/09/09 9:50:21 AM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
183,2025/09/09 9:50:40 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
184,2025/09/09 9:51:00 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A generic email to many people,To trick users into feeling safe,Ignore it
185,2025/09/09 9:51:19 AM GMT+5:30,24,Female,Degree,University /Diploma level,Report it as phishing,It comes from your manager,Reply to confirm if it’s real,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,Close the tab and continue working
186,2025/09/09 9:51:38 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Assume it’s a mistake,Go directly to the official website to reset,It can be confusing,Check the URL and site certificate,To speed up support,A generic email to many people,Because it’s required by law,Ignore it
187,2025/09/09 9:51:58 AM GMT+5:30,24,Female,Degree,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Reply to confirm if it’s real,Ignore it,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,Because it’s required by law,Ignore it
188,2025/09/09 9:52:31 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,No signature at the end,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
189,2025/09/09 9:53:03 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A generic email to many people,To block ads,"Run antivirus, change your passwords, report it"
190,2025/09/09 10:27:16 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
191,2025/09/09 10:28:44 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Ignore it,"If one is breached, both are compromised",Click “Yes” and update later,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
192,2025/09/09 10:29:02 AM GMT+5:30,25,Female,HND,University /Diploma level,Click the link to check,Grammatical mistakes and an urgent tone,Assume it’s a mistake,Ignore it,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
193,2025/09/09 10:29:23 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,It comes from your manager,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To scare you into clicking,A generic email to many people,To trick users into feeling safe,"Run antivirus, change your passwords, report it"
194,2025/09/09 10:29:42 AM GMT+5:30,25,Female,Degree,University /Diploma level,Ignore and delete it,The subject line includes your name,Assume it’s a mistake,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,Because it’s a system error,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
195,2025/09/09 10:30:07 AM GMT+5:30,26,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To scare you into clicking,A highly targeted email crafted for a specific person,To trick users into feeling safe,Ignore it
196,2025/09/09 10:30:25 AM GMT+5:30,26,Female,HND,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
197,2025/09/09 10:31:01 AM GMT+5:30,25,Prefer not to say,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
198,2025/09/09 10:31:20 AM GMT+5:30,25,Female,HND,University /Diploma level,Ignore and delete it,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,They work on different platforms,Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
199,2025/09/09 10:31:40 AM GMT+5:30,25,Female,Degree,University /Diploma level,Report it as phishing,The subject line includes your name,Recognize it’s spoofed and report it,Go directly to the official website to reset,"If one is breached, both are compromised",Check the URL and site certificate,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"
200,2025/09/09 10:32:29 AM GMT+5:30,25,Female,Degree,University /Diploma level,Click the link to check,The subject line includes your name,Delete and mark as spam,Go directly to the official website to reset,"If one is breached, both are compromised",Close the window and restart,To speed up support,A highly targeted email crafted for a specific person,Because it’s required by law,"Run antivirus, change your passwords, report it"